Attack,Layer,K,Metric,Raw_AUC,Corrected_AUC,Direction
ctrl,layer3,1,manhattan,0.9615,0.9615,Outward
ctrl,layer3,3,manhattan,0.9828,0.9828,Outward
ctrl,layer3,5,manhattan,0.9872,0.9872,Outward
ctrl,layer3,10,manhattan,0.9904,0.9904,Outward
ctrl,layer3,20,manhattan,0.9920,0.9920,Outward
ctrl,layer3,50,manhattan,0.9930,0.9930,Outward
ctrl,layer3,1,euclidean,0.9731,0.9731,Outward
ctrl,layer3,3,euclidean,0.9902,0.9902,Outward
ctrl,layer3,5,euclidean,0.9935,0.9935,Outward
ctrl,layer3,10,euclidean,0.9953,0.9953,Outward
ctrl,layer3,20,euclidean,0.9959,0.9959,Outward
ctrl,layer3,50,euclidean,0.9957,0.9957,Outward
ctrl,layer4,1,manhattan,0.8599,0.8599,Outward
ctrl,layer4,3,manhattan,0.8732,0.8732,Outward
ctrl,layer4,5,manhattan,0.8744,0.8744,Outward
ctrl,layer4,10,manhattan,0.8725,0.8725,Outward
ctrl,layer4,20,manhattan,0.8679,0.8679,Outward
ctrl,layer4,50,manhattan,0.8592,0.8592,Outward
ctrl,layer4,1,euclidean,0.8590,0.8590,Outward
ctrl,layer4,3,euclidean,0.8709,0.8709,Outward
ctrl,layer4,5,euclidean,0.8729,0.8729,Outward
ctrl,layer4,10,euclidean,0.8730,0.8730,Outward
ctrl,layer4,20,euclidean,0.8706,0.8706,Outward
ctrl,layer4,50,euclidean,0.8654,0.8654,Outward
ftrojan,layer1,1,manhattan,0.0054,0.9946,Inward
ftrojan,layer1,3,manhattan,0.1025,0.8975,Inward
ftrojan,layer1,5,manhattan,0.2692,0.7308,Inward
ftrojan,layer1,10,manhattan,0.4615,0.5385,Inward
ftrojan,layer1,20,manhattan,0.5602,0.5602,Outward
ftrojan,layer1,50,manhattan,0.6101,0.6101,Outward
ftrojan,layer1,1,euclidean,0.0170,0.9830,Inward
ftrojan,layer1,3,euclidean,0.1634,0.8366,Inward
ftrojan,layer1,5,euclidean,0.3188,0.6812,Inward
ftrojan,layer1,10,euclidean,0.4754,0.5246,Inward
ftrojan,layer1,20,euclidean,0.5528,0.5528,Outward
ftrojan,layer1,50,euclidean,0.5919,0.5919,Outward
ftrojan,layer2,1,manhattan,0.2952,0.7048,Inward
ftrojan,layer2,3,manhattan,0.6713,0.6713,Outward
ftrojan,layer2,5,manhattan,0.7942,0.7942,Outward
ftrojan,layer2,10,manhattan,0.8757,0.8757,Outward
ftrojan,layer2,20,manhattan,0.9060,0.9060,Outward
ftrojan,layer2,50,manhattan,0.9158,0.9158,Outward
ftrojan,layer2,1,euclidean,0.9727,0.9727,Outward
ftrojan,layer2,3,euclidean,0.9914,0.9914,Outward
ftrojan,layer2,5,euclidean,0.9951,0.9951,Outward
ftrojan,layer2,10,euclidean,0.9973,0.9973,Outward
ftrojan,layer2,20,euclidean,0.9982,0.9982,Outward
ftrojan,layer2,50,euclidean,0.9985,0.9985,Outward
ftrojan,layer3,1,manhattan,0.9997,0.9997,Outward
ftrojan,layer3,3,manhattan,0.9999,0.9999,Outward
ftrojan,layer3,5,manhattan,0.9999,0.9999,Outward
ftrojan,layer3,10,manhattan,0.9999,0.9999,Outward
ftrojan,layer3,20,manhattan,0.9999,0.9999,Outward
ftrojan,layer3,50,manhattan,0.9999,0.9999,Outward
ftrojan,layer3,1,euclidean,1.0000,1.0000,Outward
ftrojan,layer3,3,euclidean,1.0000,1.0000,Outward
ftrojan,layer3,5,euclidean,1.0000,1.0000,Outward
ftrojan,layer3,10,euclidean,1.0000,1.0000,Outward
ftrojan,layer3,20,euclidean,1.0000,1.0000,Outward
ftrojan,layer3,50,euclidean,1.0000,1.0000,Outward
ftrojan,layer4,1,manhattan,0.9998,0.9998,Outward
ftrojan,layer4,3,manhattan,0.9998,0.9998,Outward
ftrojan,layer4,5,manhattan,0.9998,0.9998,Outward
ftrojan,layer4,10,manhattan,0.9997,0.9997,Outward
ftrojan,layer4,20,manhattan,0.9997,0.9997,Outward
